PubMed ID	Title	accuracySource	accuracyMetric	speedSource	Method	accuracyRank	speedRank	numMethods	Data set (if applicable)	Bias	Acc comment	Speed comment
					ML(Prank+GT)	4	7				Verified	Verified
					ML(Muscle)	5	5				Verified	Verified
					ML(ClustalW)	6	3				Verified	Verified
					ML(ClustalW-quicktree)	7	1				Verified	Verified
					ML(Opal)	8	6				Verified	Verified
23842808	Naive binning improves phylogenomic analyses.	Fig. 5 (50 genes)	Average FN rate	Section: 3.1 Computational issues	CA-ML	1	1.5				Verified	Verified
					starBEAST	2	5				Verified	Verified
					BUCKy-con	4	3.5				Verified	Verified
					BUCKy-pop	3	3.5				Verified	Verified
					MP-EST	5	1.5				Verified	Verified
15840834	All are not equal: a benchmark of different homology modeling programs.	Table 2	No. of RMSD >3 Å from backbone	Table 2	3D-JIGSAW	3	10	10			Verified	Verified
					Builder	7	5				Verified	Verified
					Modeller6v2-10	5	9				Verified	Verified
					Modeller6v2	9	6				Verified	Verified
					Modeller7v7	10	7				Verified	Verified
					nest	4	4				Verified	Verified
					SCWRL3	1.5	1.5				Verified	Verified
					SCWRL-CONS	1.5	1.5				Verified	Verified
					SegMod/ENCAD	6	3				Verified	Verified
					SWISS-MODEL	8	8				Verified	Verified
19179695	Barking up the wrong treelength: the impact of gap penalty on alignment and tree accuracy.	Fig. 8 (b)	Tree error fraction	Fig. 9.	POY	7	6	7			Verified	Verified
					POYstar	2	7				Verified	Verified
					Probtree	1	5				Verified	Verified
					ML(MAFFT)	3	3				Verified	Verified
					ML(ClustalW)	4	1				Verified	Verified
					MPS(ClustalW)	6	4				Verified	Verified
					MPJ(ClustalW)	5	2				Verified	Verified
22492192	A survey of error-correction methods for next-generation sequencing	Table 5: D1	Gain	Table 5	Coral	5	3	6			Verified	Verified
					HiTEC	2	5				Verified	Verified
					HSHREC	6	6				Verified	Verified
					Quake	3	4				Verified	Verified
					Reptile	1	1				Verified	Verified
					SOAPec	4	2				Verified	Verified
		Table 5: D2	Gain	Table 5	Coral	4	3	5			Verified	Verified
					HiTEC	1	4				Verified	Verified
					HSHREC	5	5				Verified	Verified
					Reptile	2	2				Verified	Verified
					SOAPec	3	1				Verified	Verified
		Table 5: D3 (B)	Gain	Table 5	Coral	6	1	7			Verified	Verified
					ECHO	2	7				Verified	Verified
					HiTEC	1	3				Verified	Verified
					HSHREC	7	5				Verified	Verified
					Quake	5	6				Verified	Verified
					Reptile	3	4				Verified	Verified
					SOAPec	4	2				Verified	Verified
		Table 5: D5	Gain	Table 5	Coral	3	3	4			Verified	Verified
					HSHREC	4	4				Verified	Verified
					Reptile	1	2				Verified	Verified
					SOAPec	2	1				Verified	Verified
		Table 5: D6	Gain	Table 5	Coral	3	2	4			Verified	Verified
					HSHREC	4	4				Verified	Verified
					Reptile	1	3				Verified	Verified
					SOAPec	2	1				Verified	Verified
		Table 5: D7	Gain	Table 5	Coral	3	2	4			Verified	Verified
					HSHREC	4	4				Verified	Verified
					Reptile	1	3				Verified	Verified
					SOAPec	2	1				Verified	Verified
21615913	A novel and well-defined benchmarking method for second generation read mapping	Figure 5: EMBL:SRR049254, any best	Normalized found intervals @ 5% error rate	Table S5	Bowtie	4.5	2	6			Verified	Verified
					BowtieStar	2	4				Verified	Verified
					Bwa	1	5				Verified	Verified
					Shrimp2	4.5	6				Verified	Verified
					Soap2	6	1				Verified	Verified
					Soap2Star	3	3				Verified	Verified
19126200	Comparison of public peak detection algorithms for MALDI mass spectrometry data analysis	Figure 5 (b)	Median average sensitivity	Table 2 (simulation data)	Cromwell	4	1	5			Verified	Verified
					CWT	1	4				Verified	Verified
					LIMPIC	2	3				Verified	Verified
					LMS	5	2				Verified	Verified
					PROcess	3	5				Verified	Verified
		Figure 6 (b)	Median average sensitivity	Table 2 (real data)	Cromwell	5	2				Verified	Verified
					CWT	1.5	4				Verified	Verified
					LIMPIC	1.5	1				Verified	Verified
					LMS	4	3				Verified	Verified
					PROcess	3	5				Verified	Verified
22574964	A comparative evaluation of sequence classification programs	Table 2	Mean Sensitivity	Table 2	CARMA	2	4	4			Verified	Verified
					MEGAN	1	3				Verified	Verified
					MetaPhyler	4	1				Verified	Verified
					MG-RAST	3	2				Verified	Verified
		Table 2	Mean Precision	Table 2	CARMA	1	4	4			Verified	Verified
					MEGAN	3	3				Verified	Verified
					MetaPhyler	4	1				Verified	Verified
					MG-RAST	2	2				Verified	Verified
		Table 6	Mean Sensitivity	Table 6	NBC	1	3				Verified	Verified
					PhyloPythiaS	4	2				Verified	Verified
					PhymmBL	2	4				Verified	Verified
					RAIphy	3	1				Verified	Verified
		Table 6	Mean Sensitivity	Table 6	NBC	1	3				Verified	Verified
					PhyloPythiaS	3	2				Verified	Verified
					PhymmBL	2	4				Verified	Verified
					RAIphy	4	1				Verified	Verified
22287634	Performance comparison and evaluation of software tools for microRNA deep-sequencing data analysis	Figure 6	Mean accuracy	Figure 2 (summed over H. sapiens, G. gallus & C. elegans)	miRExpress	1	1	4			Verified	Verified
					mireap	4	2				Verified	Verified
					miRDeep	3	3.5				Verified	Verified
					MIReNA	2	3.5				Verified	Verified
