tool	yearPublished	journal	impactFactor(2017)	Journal H5-index(2017)	totalCitations(2017)	totalCitations(2020)	H-index: (Corresponding author)(2017)	M-index (Corresponding author)(2017)	H (2020)	M (2020)	Versions	Commits (Github)	Contributers (Github)	Github repo	fullCite	
coprarna	2013	Proceedings of the National Academy of Sciences	9.600	216	40	185	Jens Georg:12; Rolf Backofen:37	Jens Georg:1.5; Rolf Backofen:1.68	Rolf Backofen:53	1.77	2.13	185	4	https://github.com/PatrickRWright/CopraRNA	Wright, P. R., Richter, A. S., Papenfort, K., Mann, M., Vogel, J., Hess, W. R., … Georg, J. (2013). Comparative genomics boosts target prediction for bacterial small RNAs. Proceedings of the National Academy of Sciences of the United States of America, 110(37), E3487–96. doi:10.1073/pnas.1303248110	
coral	2011	Bioinformatics	4.981	106	93	185	Leena Salmela:13	Leena Salmela:1.00	Leena Salmela:17	1.00	NA	NA	NA	NA	Salmela, L., & Schröder, J. (2011). Correcting errors in short reads by multiple alignments. Bioinformatics, 27(11), 1455-1461.	
cortex	2012	Nature genetics	NA	NA	NA	577	NA		Gil McVean:89	3.56	1	NA	NA	NA	Iqbal Z, Caccamo M, Turner I, Flicek P, McVean G. De novo assembly and genotyping of variants using colored de Bruijn graphs. Nature genetics. 2012 Feb;44(2):226-32.	
cosine	2007	Proc. of the 2007 Joint Conf. on Empirical Methods in Natural Language Processing and Computational Natural Language Learning (EMNLP-CoNLL)	NA	NA	98	156	Dragomir Radev:50	Dragomir Radev:2.78	Dragomir Radev:62	1.22	NA	NA	NA	NA	Erkan, Günes, Arzucan Özgür, and Dragomir R. Radev. "Semi-supervised classification for extracting protein interaction sentences using dependency parsing." In EMNLP-CoNLL, vol. 7, pp. 228-237. 2007.	
crac	2013	Genome biology	NA	NA	NA	77	NA		Eric Rivals:28	1.87	1	NA	NA	NA	Philippe N, Salson M, Commes T, Rivals E. CRAC: an integrated approach to the analysis of RNA-seq reads. Genome biology. 2013 Mar 1;14(3):R30.	
crest	2011	Nature methods	NA	NA	NA	457	NA		Jinghui Zhang:78	2.79	1	NA	NA	NA	Wang J, Mullighan CG, Easton J, Roberts S, Heatley SL, Ma J, Rusch MC, Chen K, Harris CC, Ding L, Holmfeldt L. CREST maps somatic structural variation in cancer genomes with base-pair resolution. Nature methods. 2011 Aug;8(8):652-4.	
crisp	2010	Bioinformatics	4.981	106	107	182	Vikas Bansal:17	Vikas Bansal:1.55	Vikas Bansal:23	1.44	NA	NA	NA	NA	Bansal, V. (2010). A statistical method for the detection of variants from next-generation resequencing of DNA pools. Bioinformatics, 26(12), i318-i324.	
crispor	2016	Genome Biology	NA	NA	NA	691	NA		Maximilian Haeussler:33	2.20	1	54	1	https://github.com/maximilianh/crisporPaper	Haeussler M, Schönig K, Eckert H, Eschstruth A, Mianné J, Renaud JB, et al. Evaluation of off-target and on-target scoring algorithms and integration into the guide RNA selection tool CRISPOR. Genome Biology. 2016;17(1):1–12.	
crisprdo	2016	Bioinformatics	NA	NA	NA	33	NA		NA	NA	1	NA	NA	NA	Ma J, Köster J, Qin Q, Hu S, Li W, Chen C, et al. CRISPR-DO for genome-wide CRISPR design and optimization. Bioinformatics. 2016;32(21):3336–3338. pmid:27402906	
cro	2010	Evolutionary Computation, IEEE Transactions on	NA	47	167	449	Albert Y.S. Lam:13; Victor O.K. Li:46	Albert Y.S. Lam:2.17; Victor O.K. Li:1.77	Victor O.K. Li:74	2.39	NA	NA	NA	NA	Lam, A., & Li, V. O. (2010). Chemical-reaction-inspired metaheuristic for optimization. Evolutionary Computation, IEEE Transactions on, 14(3), 381-399.	
cromwell	2005	Proteomics	3.807	55	305	375	Kevin Coombes:52	Kevin Coombes:3.71	Kevin Coombes:68	3.78	NA	NA	NA	NA	Coombes, K. R., Tsavachidis, S., Morris, J. S., Baggerly, K. A., Hung, M. C., & Kuerer, H. M. (2005). Improved peak detection and quantification of mass spectrometry data acquired from surface‐enhanced laser desorption and ionization by denoising spectra with the undecimated discrete wavelet transform. Proteomics, 5(16), 4107-4117.	
csblast	2009	Proceedings of the National Academy of Sciences	NA	NA	NA	197	NA		Johannes Söding:57	2.04	2.23	79	1	https://github.com/cangermueller/csblast	Biegert A, Söding J. Sequence context-specific profiles for homology searching. Proceedings of the National Academy of Sciences. 2009 Mar 10;106(10):3770-5.	
cufflinks	2012; 2010	Nature protocols; Nature biotechnology	9.673; 41.514	78; 141	1454; 3142	8843; 10305	Cole Trapnell:25; Lior Pachter:51	Cole Trapnell:4.17; Lior Pachter:3.64	Lior Pachter:66	2.87	2.21	1436	15	https://github.com/cole-trapnell-lab/cufflinks	Trapnell, Cole, Adam Roberts, Loyal Goff, Geo Pertea, Daehwan Kim, David R. Kelley, Harold Pimentel, Steven L. Salzberg, John L. Rinn, and Lior Pachter. "Differential gene and transcript expression analysis of RNA-seq experiments with TopHat and Cufflinks." Nature protocols 7, no. 3 (2012): 562-578.; Trapnell, Cole, Brian A. Williams, Geo Pertea, Ali Mortazavi, Gordon Kwan, Marijke J. Van Baren, Steven L. Salzberg, Barbara J. Wold, and Lior Pachter. "Transcript assembly and quantification by RNA-Seq reveals unannotated transcripts and isoform switching during cell differentiation." Nature biotechnology 28, no. 5 (2010): 511-515.	
cushaw	2014	PloS one	NA	NA	NA	62	NA		Bertil Schmidt:40	1.38	1	NA	NA	NA	Liu Y, Popp B, Schmidt B. CUSHAW3: sensitive and accurate base-space and color-space short-read alignment with hybrid seeding. PloS one. 2014 Jan 22;9(1):e86869.	
cwt	2006	Bioinformatics	4.981	106	348	637	Simon M. Lin:31	Simon M. Lin:2.38	Simon M. Lin:43	1.87	NA	NA	NA	NA	Du, P., Kibbe, W. A., & Lin, S. M. (2006). Improved peak detection in mass spectrum by incorporating continuous wavelet transform-based pattern matching. Bioinformatics, 22(17), 2059-2065.	
d3e	2016	BMC bioinformatics				47			Martin Hemberg:35	1.84	1	34	3	https://github.com/hemberg-lab/D3E	Delmans M, Hemberg M. Discrete distributional differential expression (D 3 E)-a tool for gene expression analysis of single-cell RNA-seq data. BMC bioinformatics. 2016 Dec 1;17(1):110.	
dali	1993; 2000	Journal of molecular biology; Bioinformatics	‎4.333	62	4067; 859	4490; 1038	Chris Sander:131	Chris Sander:5.46	Chris Sander:181	3.12	NA	NA	NA	NA	Holm, L., & Sander, C. (1993). Protein structure comparison by alignment of distance matrices. Journal of molecular biology, 233(1), 123-138.; Holm, L., & Park, J. (2000). DaliLite workbench for protein structure comparison. Bioinformatics, 16(6), 566-567.	
de	2012	International Journal of Chemical Reactor Engineering	0.592	15	2	8	Feiyi Wang:21	Feiyi Wang:1.17	Feiyi Wang:27	1.17	NA	NA	NA	NA	Chen, Y. T., & Wang, F. S. (2012). Determination of kinetic parameters for enzymatic cellulose hydrolysis using hybrid differential evolution. International Journal of Chemical Reactor Engineering, 9(1).	
defuse	2011	PLoS computational biology	NA	NA	NA	475	NA		Sohrab Shah:64	3.76	1	NA	NA	NA	McPherson A, Hormozdiari F, Zayed A, Giuliany R, Ha G, Sun MG, Griffith M, Moussavi AH, Senz J, Melnyk N, Pacheco M. deFuse: an algorithm for gene fusion discovery in tumor RNA-Seq data. PLoS Comput Biol. 2011 May 19;7(5):e1001138.	
delly	2012	Bioinformatics	NA	NA	NA	1037	NA		Tobias Rausch:31	2.58	1.85	1128	6	https://github.com/dellytools/delly	Rausch T, Zichner T, Schlattl A, Stütz AM, Benes V, Korbel JO. DELLY: structural variant discovery by integrated paired-end and split-read analysis. Bioinformatics. 2012 Sep 15;28(18):i333-9.	
deseq2	2014	Genome biology				20160			Simon Anders:30	1.67	2	803	10	https://github.com/mikelove/DESeq2	Love MI, Huber W, Anders S. Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2. Genome biology. 2014 Dec 1;15(12):550.	
desingle	2018	Bioinformatics				38			NA	NA	1.92	232	3	https://github.com/miaozhun/DEsingle	Miao Z, Deng K, Wang X, Zhang X. DEsingle for detecting three types of differential expression in single-cell RNA-seq data. Bioinformatics. 2018 Sep 15;34(18):3223-4.	
dexseq	2012	Genome research	14.630	107	234	1001	Simon Anders:17	Simon Anders:1.7	Simon Anders:30	1.67	NA	NA	NA	NA	Anders, Simon, Alejandro Reyes, and Wolfgang Huber. "Detecting differential usage of exons from RNA-seq data." Genome research 22, no. 10 (2012): 2008-2017.	
dialign	1998	Bioinformatics	4.900	106	413	491	Burkhard Morgenstern:34	Burkhard Morgenstern:2.27	Burkhard Morgenstern:42	1.75	NA	NA	NA	NA	Morgenstern, B., Frech, K., Dress, A., & Werner, T. (1998). DIALIGN: finding local similarities by multiple sequence alignment. Bioinformatics, 14(3), 290-294.	
dialign22	1999; 1998	Bioinformatics; Bioinformatics	4.900	106	779; 413	878; 491	Burkhard Morgenstern:34	Burkhard Morgenstern:2.27	Burkhard Morgenstern:42	1.75	NA	NA	NA	NA	Morgenstern, Burkhard. "DIALIGN 2: improvement of the segment-to-segment approach to multiple sequence alignment." Bioinformatics 15, no. 3 (1999): 211-218.; Morgenstern, Burkhard, Kornelie Frech, Andreas Dress, and Thomas Werner. "DIALIGN: finding local similarities by multiple sequence alignment." Bioinformatics 14, no. 3 (1998): 290-294.	
dialignt	2005	BMC bioinformatics	2.576	74	155	206	Burkhard Morgenstern:34	Burkhard Morgenstern:2.27	Burkhard Morgenstern:42	1.75	NA	NA	NA	NA	Subramanian, Amarendran R., Jan Weyer-Menkhoff, Michael Kaufmann, and Burkhard Morgenstern. "DIALIGN-T: an improved algorithm for segment-based multiple sequence alignment." BMC bioinformatics 6, no. 1 (2005): 66.	
dialigntx	2008	Algorithms for molecular biology	1.463	19	178	256	Burkhard Morgenstern:34	Burkhard Morgenstern:2.27	Burkhard Morgenstern:42	1.75	NA	NA	NA	NA	Subramanian, Amarendran R., Michael Kaufmann, and Burkhard Morgenstern. "DIALIGN-TX: greedy and progressive approaches for segment-based multiple sequence alignment." Algorithms Mol Biol 3, no. 6 (2008): 1-11.	
diamondmegan	NA	NA	NA	NA	NA	NA	NA		NA	NA	1	NA	NA	NA	NA	
diffsplice	2013	Nucleic acids research	9.112	172	36	134	NA	NA	NA	NA	NA	NA	NA	NA	Hu, Yin, Yan Huang, Ying Du, Christian F. Orellana, Darshan Singh, Amy R. Johnson, Anaïs Monroy et al. "DiffSplice: the genome-wide detection of differential splicing events with RNA-seq." Nucleic acids research 41, no. 2 (2013): e39-e39.	
diginormvelvet	2012; 2008	arXiv Genomics (q-bio.GN); Genome research	14.630	36; 107	64; 4163	208; 9048	C. Titus Brown:29; Ewan Birney:92	C. Titus Brown:1.71; Ewan Birney:6.13	Ewan Birney:124	3.57	1.21	400	11	https://github.com/dzerbino/velvet	Brown, C. T., Howe, A., Zhang, Q., Pyrkosz, A. B., & Brom, T. H. (2012). A reference-free algorithm for computational normalization of shotgun sequencing data. arXiv preprint arXiv:1203.4802.; Zerbino, D. R., & Birney, E. (2008). Velvet: algorithms for de novo short read assembly using de Bruijn graphs. Genome research, 18(5), 821-829.	
dima	2012; 2013	arXiv Genomics (q-bio.GN); Proceedings of the VLDB Endowment	NA	36	64; 8	208; 39	C. Titus Brown:29; Subhash Suri:65	C. Titus Brown:1.71; Subhash Suri:2.5	Subhash Suri:75	2.14	NA	NA	NA	NA	Brown, C. T., Howe, A., Zhang, Q., Pyrkosz, A. B., & Brom, T. H. (2012). A reference-free algorithm for computational normalization of shotgun sequencing data. arXiv preprint arXiv:1203.4802.; Li, Y., Kamousi, P., Han, F., Yang, S., Yan, X., & Suri, S. (2013, January). Memory efficient minimum substring partitioning. In Proceedings of the VLDB Endowment (Vol. 6, No. 3, pp. 169-180). VLDB Endowment.	
djigsaw	2001	Proteins: Structure, Function, and Bioinformatics	NA	45	561	702	Paul A Bates:48	Paul A Bates:1.85	Paul A Bates:65	1.59	NA	NA	NA	NA	Bates, P. A., Kelley, L. A., MacCallum, R. M., & Sternberg, M. J. (2001). Enhancement of protein modeling by human intervention in applying the automatic programs 3D‐JIGSAW and 3D‐PSSM. Proteins: Structure, Function, and Bioinformatics, 45(S5), 39-46.	
downhillsimplex	1965	Computer Journal.	0.787	27	106	145	NA	NA	NA	NA	NA	NA	NA	NA	JA Nelder, R Mead (1965) The downhill simplex method. Computer Journal.	
dpt	2016	Nature methods	NA	NA	NA	473	NA		Fabian J Theis:77	4.05	1	NA	NA	NA	Haghverdi L, Büttner M, Wolf FA, Buettner F, Theis FJ. Diffusion pseudotime robustly reconstructs lineage branching. Nature methods. 2016 Oct;13(10):845.	
dsgseq	2013	Gene	2.138	43	17	54	NA	NA	NA	NA	NA	NA	NA	NA	Wang, Weichen, Zhiyi Qin, Zhixing Feng, Xi Wang, and Xuegong Zhang. "Identifying differentially spliced genes from two groups of RNA-seq samples."Gene 518, no. 1 (2013): 164-170.	
dsk	2013	Bioinformatics	NA	NA	NA	255	NA		Rayan Chikhi:22	1.69	2.1	NA	NA	NA	Rizk G, Lavenier D, Chikhi R. DSK: k-mer counting with very low memory usage. Bioinformatics. 2013 Mar 1;29(5):652-3.	
ebi	2014	Nucleic acids research	9.112	172	25	138	Sarah Hunter:12; 	Sarah Hunter:1.5; 	Sarah Hunter:13	1.00	NA	NA	NA	NA	Hunter, S., Corbett, M., Denise, H., Fraser, M., Gonzalez-Beltran, A., Hunter, C., ... & Sansone, S. A. (2014). EBI metagenomics—a new resource for the analysis and archiving of metagenomic data. Nucleic acids research, 42(D1), D600-D606.	
echo	2011	Genome research	14.630	107	83	144	NA	NA	NA	NA	NA	NA	NA	NA	Kao, W. C., Chan, A. H., & Song, Y. S. (2011). ECHO: a reference-free short-read error correction algorithm. Genome research, 21(7), 1181-1192.	
ectools	2014	BioRxiv	NA	NA	NA	74	NA		Michael Schatz:63	3.94	1	64	1	https://github.com/jgurtowski/ectools	Lee H, Gurtowski J, Yoo S, Marcus S, McCombie WR, Schatz M. Error correction and assembly complexity of single molecule sequencing reads. BioRxiv. 2014:006395	
edenanonstrict	2008	Genome research	14.630	107	457	684	David Hernandez:18	David Hernandez:1.64	David Hernandez:36	0.95	1	3	1	https://github.com/ddhz/edena	Hernandez, David, Patrice François, Laurent Farinelli, Magne Østerås, and Jacques Schrenzel. "De novo bacterial genome sequencing: millions of very short reads assembled on a desktop computer." Genome research 18, no. 5 (2008): 802-809.	
edenastrict	2008	Genome research	14.630	107	457	684	David Hernandez:18	David Hernandez:1.64	David Hernandez:36	0.95	1	3	1	https://github.com/ddhz/edena	Hernandez, David, Patrice François, Laurent Farinelli, Magne Østerås, and Jacques Schrenzel. "De novo bacterial genome sequencing: millions of very short reads assembled on a desktop computer." Genome research 18, no. 5 (2008): 802-809.	
edger	2010	Bioinformatics				17383			Mark D. Robinson:59	3.11	1	NA	NA	NA	Robinson MD, McCarthy DJ, Smyth GK. edgeR: a Bioconductor package for differential expression analysis of digital gene expression data. Bioinformatics. 2010 Jan 1;26(1):139-40.	
edit	2007	Proc. of the 2007 Joint Conf. on Empirical Methods in Natural Language Processing and Computational Natural Language Learning (EMNLP-CoNLL)	NA	NA	98	156	Gunes Erkan:13; Arzucan Ozgur:12; Dragomir Radev:50	Gunes Erkan:1.18; Arzucan Ozgur:1.2; Dragomir Radev:2.78;	Dragomir Radev:62	1.22	NA	NA	NA	NA	Erkan, Günes, Arzucan Özgür, and Dragomir R. Radev. "Semi-supervised classification for extracting protein interaction sentences using dependency parsing." In EMNLP-CoNLL, vol. 7, pp. 228-237. 2007.	
elpigraph	2020	Entropy	NA	NA	NA	3	NA		Andrei Zinovyev:39	1.95	1	213	5	https://github.com/Albluca/ElPiGraph.R	Albergante L, Mirkes E, Bac J, Chen H, Martin A, Faure L, Barillot E, Pinello L, Gorban A, Zinovyev A. Robust and scalable learning of complex intrinsic dataset geometry via ElPiGraph. Entropy. 2020 Mar;22(3):296.	
elpigraphcycle	2020	Entropy	NA	NA	NA	3	NA		Andrei Zinovyev:39	1.95	1	213	5	https://github.com/Albluca/ElPiGraph.R	Albergante L, Mirkes E, Bac J, Chen H, Martin A, Faure L, Barillot E, Pinello L, Gorban A, Zinovyev A. Robust and scalable learning of complex intrinsic dataset geometry via ElPiGraph. Entropy. 2020 Mar;22(3):296.	
elpigraphlinear	2020	Entropy	NA	NA	NA	3	NA		Andrei Zinovyev:39	1.95	1	213	5	https://github.com/Albluca/ElPiGraph.R	Albergante L, Mirkes E, Bac J, Chen H, Martin A, Faure L, Barillot E, Pinello L, Gorban A, Zinovyev A. Robust and scalable learning of complex intrinsic dataset geometry via ElPiGraph. Entropy. 2020 Mar;22(3):296.	
embeddr	2015	bioRxiv	NA	NA	NA	21	NA		Kieran R Campbell:13	2.60	1	93	1	https://github.com/kieranrcampbell/embeddr	Campbell K, Ponting CP, Webber C. Laplacian eigenmaps and principal curves for high resolution pseudotemporal ordering of single-cell RNA-seq profiles. bioRxiv. 2015 Jan 1:027219.	
emdomics	2016	Bioinformatics				24			Andrew H. Beck:52	3.25	1	93	1	https://github.com/schmolze/EMDomics-devel	Nabavi S, Schmolze D, Maitituoheti M, Malladi S, Beck AH. EMDomics: a robust and powerful method for the identification of genes differentially expressed between heterogeneous classes. Bioinformatics. 2016 Feb 15;32(4):533-41.	
epimode	2009	PLoS Genetics	7.528	109	54	123	Rui Jiang:19	Rui Jiang:1.73	Rui Jiang:33	1.43	NA	NA	NA	NA	Tang, W., Wu, X., Jiang, R., & Li, Y. (2009). Epistatic module detection for case-control studies: a Bayesian model with a Gibbs sampling strategy. PLoS Genet, 5(5), e1000464.	
erds	2012	The American Journal of Human Genetics	NA	NA	NA	91	NA		David B. Goldstein:122	4.36	1.1	NA	NA	NA	Zhu M, Need AC, Han Y, Ge D, Maia JM, Zhu Q, Heinzen EL, Cirulli ET, Pelak K, He M, Ruzzo EK. Using ERDS to infer copy-number variants in high-coverage genomes. The American Journal of Human Genetics. 2012 Sep 7;91(3):408-21.	
ericscript	2012	Bioinformatics	4.981	106	15	96	Matteo Benelli:11	Matteo Benelli:1.83	Matteo Benelli:22	2.20	1	12	2	https://github.com/databio/ericscript	Benelli, M., Pescucci, C., Marseglia, G., Severgnini, M., Torricelli, F., & Magi, A. (2012). Discovering chimeric transcripts in paired-end RNA-seq data by using EricScript. Bioinformatics, 28(24), 3232-3239.	
erpin	2001	Journal of molecular biology	‎4.333	62	198	318	Daniel Gautheret:36	Daniel Gautheret:1.64	Daniel Gautheret:45	1.41	NA	NA	NA	NA	Gautheret, Daniel, and André Lambert. "Direct RNA motif definition and identification from multiple sequence alignments using secondary structure profiles." Journal of molecular biology 313, no. 5 (2001): 1003-1011.	
ersa	2014	PLoS Genetics	NA	NA	NA	52	NA		Chad Huff:33	2.54	2.1	NA	NA	NA	Li H, Glusman G, Hu H, Caballero J, Hubley R, Witherspoon D, Guthery SL, Mauldin DE, Jorde LB, Hood L, Roach JC. Relationship estimation from whole-genome sequence data. PLoS Genet. 2014 Jan 30;10(1):e1004144.	
exomecnv	2011	Bioinformatics	NA	NA	NA	392	NA		J Fah Sathirapongsasuti:16	1.78	1.4	NA	NA	NA	Sathirapongsasuti JF, Lee H, Horst BAJ, Brunner G, Cochran AJ, Binder S, et al. Exome sequencing-based copy-number variation and loss of heterozygosity detection: ExomeCNV. Bioinformatics. 2011;27:2648–54.	
exomecopy	2011	Statistical applications in genetics and molecular biology	NA	NA	NA	68	NA		Michael I. Love:23	2.56	1	NA	NA	NA	Love MI, Myšičková A, Sun R, Kalscheuer V, Vingron M, Haas SA. Modeling read counts for CNV detection in exome sequencing data. Statistical applications in genetics and molecular biology. 2011 Nov 8;10(1).	
fa	2009	Stochastic algorithms: foundations and applications	NA	NA	943	3259	Xin-She Yang:45	Xin-She Yang:5	Xin-She Yang:82	2.48	NA	NA	NA	NA	Yang, X. S. (2009). Firefly algorithms for multimodal optimization. In Stochastic algorithms: foundations and applications (pp. 169-178). Springer Berlin Heidelberg.	
fasta	1990; 1988	Methods in enzymology; Proceedings of the National Academy of Sciences	2.088;  ‎9.674	38; 216	2221; 11775	2686; 13963	William Pearson:43	William Pearson:1.43	William Pearson:51	1.11	36.38	466	2	https://github.com/wrpearson/fasta36	Pearson, William R. "[5] Rapid and sensitive sequence comparison with FASTP and FASTA." Methods in enzymology 183 (1990): 63-98.; Pearson, W. R., & Lipman, D. J. (1988). Improved tools for biological sequence comparison. Proceedings of the National Academy of Sciences, 85(8), 2444-2448.	
fastlbd	2011	The American Journal of Human Genetics	NA	NA	NA	318	NA		Sharon R. Browning:36	1.64	1	NA	NA	NA	Browning BL, Browning SR. A fast, powerful method for detecting identity by descent. The American Journal of Human Genetics. 2011 Feb 11;88(2):173-82.	
fastmnn	2018	Nature biotechnology	NA	NA	NA	521	NA		John Marioni:64	4.00	1	86	1	https://github.com/MarioniLab/FurtherMNN2018	Haghverdi L, Lun AT, Morgan MD, Marioni JC. Batch effects in single-cell RNA-sequencing data are corrected by matching mutual nearest neighbors. Nature biotechnology. 2018 May;36(5):421-7.	
fasttree	2009	Molecular biology and evolution	9.100	65	616	2398	Morgan Price:34	Morgan Price:1.79	Morgan Price:44	1.42	NA	NA	NA	NA	Price, M.N., Dehal, P.S., and Arkin, A.P. (2009) FastTree: Computing Large Minimum-Evolution Trees with Profiles instead of a Distance Matrix. Molecular Biology and Evolution 26:1641-1650, doi:10.1093/molbev/msp077.	
fateid	2018	Nature methods	NA	NA	NA	97	NA		Dominic Grün:27	1.80	1	20	1	https://github.com/dgrun/FateID	Herman JS, Grün D. FateID infers cell fate bias in multipotent progenitors from single-cell RNA-seq data. Nature methods. 2018 May;15(5):379.	
fermikit	2015	Bioinformatics	NA	NA	NA	73	NA		Heng Li:53	3.31	1.13	69	2	https://github.com/lh3/fermikit	Li H. FermiKit: assembly-based variant calling for Illumina resequencing data. Bioinformatics. 2015 Nov 15;31(22):3694-6.	
fiona	2014	Bioinformatics	NA	NA	NA	66	NA		Marcel H Schulz:23	1.77	1	NA	NA	NA	Schulz MH, Weese D, Holtgrewe M, Dimitrova V, Niu S, Reinert K, Richard H. Fiona: a parallel and automatic strategy for read error correction. Bioinformatics. 2014 Sep 1;30(17):i356-63.	
fisherexacttest	1922	Journal of the Royal Statistical Society	3.515	37	1367	2671	NA	NA	NA	NA	NA	NA	NA	NA	Fisher, R. A. (1922). On the interpretation of χ2 from contingency tables, and the calculation of P. Journal of the Royal Statistical Society, 85(1), 87-94.	
fisherz	2000	MIT press	NA	NA	NA	7993	NA		David Heckerman:121	3.36	NA	NA	NA	NA	Spirtes P, Glymour CN, Scheines R, Heckerman D. Causation, prediction, and search. MIT press; 2000.	
flashfry	2018	BMC biology	NA	NA	NA	24	NA		Aaron McKenna:41	3.15	1.12	389	4	https://github.com/mckennalab/FlashFry	McKenna A, Shendure J. FlashFry: a fast and flexible tool for large-scale CRISPR target design. BMC biology. 2018;16(1):74. pmid:29976198	
flye	2016	Proceedings of the National Academy of Sciences	NA	NA	NA	92	NA		Pavel Pevzner:93	2.82	2.81	1702	11	https://github.com/fenderglass/Flye	Lin Y, Yuan J, Kolmogorov M, Shen MW, Chaisson M, Pevzner PA. Assembly of long error-prone reads using de Bruijn graphs. Proceedings of the National Academy of Sciences. 2016 Dec 27;113(52):E8396-405.	
fmlrc	2018	BMC Bioinformatics	NA	NA	NA	35	NA		Jeremy Wang:14	1.40	1	33	2	https://github.com/holtjma/fmlrc	Wang JR, Holt J, McMillan L, Jones CD. FMLRC: hybrid long read error correction using an FM-index. BMC Bioinformatics. 2018;19:50.	
forestsv	2012	Nature methods	NA	NA	NA	39	NA		Jonathan Sebat:45	2.25	1	NA	NA	NA	Michaelson JJ, Sebat J. forestSV: structural variant discovery through statistical learning. Nature methods. 2012 Aug;9(8):819-21.	
forks	2017	bioRxiv	NA	NA	NA	3	NA		shyam prabhakar:33	1.22	1	NA	NA	NA	Sharma M, Li H, Sengupta D, Prabhakar S. FORKS: Finding Orderings Robustly using K-means and Steiner trees. bioRxiv. 2017 Jan 1:132811.	
freec	2011	Bioinformatics	NA	NA	NA	245	NA		Valentina Boeva:26	1.63	5.7	62	4	https://github.com/BoevaLab/FREEC	Boeva V, Zinovyev A, Bleakley K, Vert JP, Janoueix-Lerosey I, Delattre O, Barillot E. Control-free calling of copy number alterations in deep-sequencing data using GC-content normalization. Bioinformatics. 2011 Jan 15;27(2):268-9.	
fusioncatcher	2014	bioRxiv	NA	NA	6	150	Daniel Nicorici:14	Daniel Nicorici:1.08	Daniel Nicorici:16	0.89	1.2	398	4	https://github.com/ndaniel/fusioncatcher	Nicorici, D., Satalan, M., Edgren, H., Kangaspeska, S., Murumagi, A., Kallioniemi, O., Virtanen, S. and Kilkku, O., 2014. FusionCatcher-a tool for finding somatic fusion genes in paired-end RNA-sequencing data. bioRxiv, p.011650.	
fusionhunter	2011	Bioinformatics	NA	NA	NA	94	NA		Jian Ma:36	2.12	1.4	1	1	https://github.com/ma-compbio/FusionHunter	Li Y, Chien J, Smith DI, Ma J. FusionHunter: identifying fusion transcripts in cancer using paired-end RNA-seq. Bioinformatics. 2011 Jun 15;27(12):1708-10.	
fusionmap	2011	Bioinformatics	4.981	106	98	218	NA	NA	Huanying Ge:9	0.69	NA	NA	NA	NA	Ge, H., Liu, K., Juan, T., Fang, F., Newman, M., & Hoeck, W. (2011). FusionMap: detecting fusion genes from next-generation sequencing data at base-pair resolution. Bioinformatics, 27(14), 1922-1928.	
gassst	2010	Bioinformatics	4.900	106	58	102	Dominique Lavenier:23	Dominique Lavenier:0.88	Dominique Lavenier:29	0.88	NA	NA	NA	NA	Rizk, G., & Lavenier, D. (2010). GASSST: global alignment short sequence search tool. Bioinformatics, 26(20), 2534-2540.	
gasvpro	2012	Genome biology	NA	NA	NA	153	NA		Ben Raphael:53	3.12	1.2	105	4	https://github.com/youngmook/gasv	Sindi SS, Önal S, Peng LC, Wu HT, Raphael BJ. An integrative probabilistic model for identification of structural variation in sequencing data. Genome biology. 2012 Mar 1;13(3):R22.	
gatk	2010	Genome research	14.630	107	3421	13750	Mark DePristo:36	Mark DePristo:3.00	Mark DePristo:52	2.60	4.181	4195	93	https://github.com/broadinstitute/gatk	McKenna, A., Hanna, M., Banks, E., Sivachenko, A., Cibulskis, K., Kernytsky, A., Garimella, K., Altshuler, D., Gabriel, S., Daly, M. and DePristo, M.A., 2010. The Genome Analysis Toolkit: a MapReduce framework for analyzing next-generation DNA sequencing data. Genome research, 20(9), pp.1297-1303.	
genie	2010	PloS one	NA	NA	NA	787	NA		Alexandre Irrthum:19	0.90	3	13	1	https://github.com/vahuynh/GENIE3	Irrthum A, Wehenkel L, Geurts P. Inferring regulatory networks from expression data using tree-based methods. PloS one. 2010 Sep 28;5(9):e12776.	
genomestrip	2011	Nature genetics	NA	NA	NA	330	NA		Steven A McCarroll:98	4.26	2.6	14478	22	https://github.com/broadinstitute/genomestrip-gatk	Handsaker RE, Korn JM, Nemesh J, McCarroll SA. Discovery and genotyping of genome structural polymorphism by sequencing on a population scale. Nature genetics. 2011 Mar;43(3):269-76.	
genometa	2012	PloS one	3.234	161	16	53	Colin Davenport:10	Colin Davenport:1.43	Colin Davenport:15	1.25	1	260	1	https://github.com/colindaven/genometa	Davenport, Colin F., Jens Neugebauer, Nils Beckmann, Benedikt Friedrich, Burim Kameri, Svea Kokott, Malte Paetow et al. "Genometa-a fast and accurate classifier for short metagenomic shotgun reads." (2012): e41224.	
germline	2009	Genome research	NA	NA	NA	396	NA		Itsik Pe'er:48	1.92	1	16	2	https://github.com/gusevlab/germline	Gusev A, Lowe JK, Stoffel M, Daly MJ, Altshuler D, Breslow JL, Friedman JM, Pe'er I. Whole population, genome-wide mapping of hidden relatedness. Genome research. 2009 Feb 1;19(2):318-26.	
