testId	accuracyRank	speedRank	method
21423806:Fig6A:SwinepoxSEN50:Fig2A	1.000	0.562	ssake
21423806:Fig6A:SwinepoxSEN50:Fig2A	0.125	0.000	vcake
21423806:Fig6A:SwinepoxSEN50:Fig2A	0.375	0.562	qsra
21423806:Fig6A:SwinepoxSEN50:Fig2A	0.500	0.562	sharcgs
21423806:Fig6A:SwinepoxSEN50:Fig2A	0.625	0.562	edenastrict
21423806:Fig6A:SwinepoxSEN50:Fig2A	0.875	0.562	edenanonstrict
21423806:Fig6A:SwinepoxSEN50:Fig2A	0.000	0.562	velvet
21423806:Fig6A:SwinepoxSEN50:Fig2A	0.250	0.562	soapdenovo
21423806:Fig6A:SwinepoxSEN50:Fig2A	0.750	0.562	taipan
21423806:Fig6B:EcoliN50:Fig2A	0.000	0.286	ssake
21423806:Fig6B:EcoliN50:Fig2A	0.143	0.000	vcake
21423806:Fig6B:EcoliN50:Fig2A	0.286	0.143	qsra
21423806:Fig6B:EcoliN50:Fig2A	0.714	0.500	edenastrict
21423806:Fig6B:EcoliN50:Fig2A	1.000	0.500	edenanonstrict
21423806:Fig6B:EcoliN50:Fig2A	0.429	0.714	velvet
21423806:Fig6B:EcoliN50:Fig2A	0.571	0.929	soapdenovo
21423806:Fig6B:EcoliN50:Fig2A	0.857	0.929	taipan
21423806:Fig6C:YeastN50:Fig2A	0.286	0.286	ssake
21423806:Fig6C:YeastN50:Fig2A	0.143	0.000	vcake
21423806:Fig6C:YeastN50:Fig2A	0.429	0.143	qsra
21423806:Fig6C:YeastN50:Fig2A	0.714	0.500	edenastrict
21423806:Fig6C:YeastN50:Fig2A	0.857	0.500	edenanonstrict
21423806:Fig6C:YeastN50:Fig2A	0.000	0.714	velvet
21423806:Fig6C:YeastN50:Fig2A	0.571	1.000	soapdenovo
21423806:Fig6C:YeastN50:Fig2A	1.000	0.857	taipan
25511303:Table1:Meanof15AUCranksTable1:SupplementaryTableS2	0.429	1.000	rdiffparam
25511303:Table1:Meanof15AUCranksTable1:SupplementaryTableS2	0.857	0.857	dsgseq
25511303:Table1:Meanof15AUCranksTable1:SupplementaryTableS2	0.000	0.714	diffsplice
25511303:Table1:Meanof15AUCranksTable1:SupplementaryTableS2	1.000	0.571	dexseq
25511303:Table1:Meanof15AUCranksTable1:SupplementaryTableS2	0.286	0.429	mats
25511303:Table1:Meanof15AUCranksTable1:SupplementaryTableS2	0.143	0.286	spcomp
25511303:Table1:Meanof15AUCranksTable1:SupplementaryTableS2	0.571	0.143	seqgsea
25511303:Table1:Meanof15AUCranksTable1:SupplementaryTableS2	0.714	0.000	cufflinks
20617200:Table2:AUCAIMed:TableS9	0.875	1.000	sl
20617200:Table2:AUCAIMed:TableS9	0.312	0.375	st
20617200:Table2:AUCAIMed:TableS9	0.312	0.125	sst
20617200:Table2:AUCAIMed:TableS9	0.125	0.000	pt
20617200:Table2:AUCAIMed:TableS9	0.000	0.250	spt
20617200:Table2:AUCAIMed:TableS9	0.625	0.875	kbsps
20617200:Table2:AUCAIMed:TableS9	0.500	0.562	cosine
20617200:Table2:AUCAIMed:TableS9	0.750	0.562	edit
20617200:Table2:AUCAIMed:TableS9	1.000	0.750	apg
20617200:Table2:AUCBioInfer:TableS9	0.875	1.000	sl
20617200:Table2:AUCBioInfer:TableS9	0.625	0.375	st
20617200:Table2:AUCBioInfer:TableS9	0.250	0.125	sst
20617200:Table2:AUCBioInfer:TableS9	0.375	0.000	pt
20617200:Table2:AUCBioInfer:TableS9	0.500	0.250	spt
20617200:Table2:AUCBioInfer:TableS9	0.750	0.875	kbsps
20617200:Table2:AUCBioInfer:TableS9	0.000	0.562	cosine
20617200:Table2:AUCBioInfer:TableS9	0.125	0.562	edit
20617200:Table2:AUCBioInfer:TableS9	1.000	0.750	apg
20617200:Table2:AUCHPRD50:TableS9	0.875	1.000	sl
20617200:Table2:AUCHPRD50:TableS9	0.125	0.375	st
20617200:Table2:AUCHPRD50:TableS9	0.000	0.125	sst
20617200:Table2:AUCHPRD50:TableS9	0.250	0.000	pt
20617200:Table2:AUCHPRD50:TableS9	0.375	0.250	spt
20617200:Table2:AUCHPRD50:TableS9	0.750	0.875	kbsps
20617200:Table2:AUCHPRD50:TableS9	0.500	0.562	cosine
20617200:Table2:AUCHPRD50:TableS9	0.625	0.562	edit
20617200:Table2:AUCHPRD50:TableS9	1.000	0.750	apg
20617200:Table2:AUCIEPA:TableS9	0.750	1.000	sl
20617200:Table2:AUCIEPA:TableS9	0.375	0.375	st
20617200:Table2:AUCIEPA:TableS9	0.000	0.125	sst
20617200:Table2:AUCIEPA:TableS9	0.125	0.000	pt
20617200:Table2:AUCIEPA:TableS9	0.500	0.250	spt
20617200:Table2:AUCIEPA:TableS9	0.875	0.875	kbsps
20617200:Table2:AUCIEPA:TableS9	0.250	0.562	cosine
20617200:Table2:AUCIEPA:TableS9	0.625	0.562	edit
20617200:Table2:AUCIEPA:TableS9	1.000	0.750	apg
20617200:Table2:AUCLLL:TableS9	0.625	1.000	sl
20617200:Table2:AUCLLL:TableS9	0.375	0.375	st
20617200:Table2:AUCLLL:TableS9	0.125	0.125	sst
20617200:Table2:AUCLLL:TableS9	0.250	0.000	pt
20617200:Table2:AUCLLL:TableS9	0.000	0.250	spt
20617200:Table2:AUCLLL:TableS9	0.875	0.875	kbsps
20617200:Table2:AUCLLL:TableS9	0.500	0.562	cosine
20617200:Table2:AUCLLL:TableS9	1.000	0.562	edit
20617200:Table2:AUCLLL:TableS9	0.750	0.750	apg
25521762:Table5:sumqualityrows14:Table3meanrank	0.667	0.333	abyss
25521762:Table5:sumqualityrows14:Table3meanrank	1.000	0.167	idbaud
25521762:Table5:sumqualityrows14:Table3meanrank	0.000	1.000	minia
25521762:Table5:sumqualityrows14:Table3meanrank	0.333	0.667	soap
25521762:Table5:sumqualityrows14:Table3meanrank	0.833	0.000	spades
25521762:Table5:sumqualityrows14:Table3meanrank	0.167	0.500	sparse
25521762:Table5:sumqualityrows14:Table3meanrank	0.500	0.833	velvet
999999999:Table5:errorrate:Table5	0.000	0.000	simulatedannealing
999999999:Table5:errorrate:Table5	0.500	0.500	downhillsimplex
999999999:Table5:errorrate:Table5	1.000	1.000	pso
999999999:Table6:errorrate:Table6	0.500	0.000	simulatedannealing
999999999:Table6:errorrate:Table6	0.000	0.500	downhillsimplex
999999999:Table6:errorrate:Table6	1.000	1.000	pso
21525877:Table2:ReadsmappedcorrectlySE:Table2SE	0.714	0.714	bowtie
21525877:Table2:ReadsmappedcorrectlySE:Table2SE	0.857	0.429	bwa
21525877:Table2:ReadsmappedcorrectlySE:Table2SE	0.429	0.571	mosaik
21525877:Table2:ReadsmappedcorrectlySE:Table2SE	0.000	0.857	pass
21525877:Table2:ReadsmappedcorrectlySE:Table2SE	0.143	0.286	rmap
21525877:Table2:ReadsmappedcorrectlySE:Table2SE	0.286	0.143	seqmap
21525877:Table2:ReadsmappedcorrectlySE:Table2SE	1.000	0.000	shrimp
21525877:Table2:ReadsmappedcorrectlySE:Table2SE	0.571	1.000	soap
21525877:Table2:ReadsmappedcorrectlyPE:Table2PE	0.000	0.833	bowtie
21525877:Table2:ReadsmappedcorrectlyPE:Table2PE	1.000	0.500	bwa
21525877:Table2:ReadsmappedcorrectlyPE:Table2PE	0.500	0.667	mosaik
21525877:Table2:ReadsmappedcorrectlyPE:Table2PE	0.167	0.333	rmap
21525877:Table2:ReadsmappedcorrectlyPE:Table2PE	0.667	0.000	shrimp
21525877:Table2:ReadsmappedcorrectlyPE:Table2PE	0.333	1.000	soap
21525877:Table2:ReadsmappedcorrectlyPE:Table2PE	0.833	0.167	ssaha
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.692	0.923	bowtie
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.154	0.231	bwa
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.385	0.731	bwasw
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.231	0.154	gsnap
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.923	0.346	mosaik
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.615	0.000	novoalign
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.038	0.538	pass
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	1.000	0.077	segemehl
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.846	0.538	shrimp
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.769	0.846	smalt
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.308	1.000	snap
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.038	0.731	srmapper
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.538	0.346	ssaha
24708189:Figure3:Fmeasure@4errorrate:Figure2RD_400	0.462	0.538	tmap
18287116:Table1:SensitivityChromosomesegment:Table1Chromosomesegment	1.000	0.333	repeatgluer
18287116:Table1:SensitivityChromosomesegment:Table1Chromosomesegment	0.333	0.000	repeatscout
18287116:Table1:SensitivityChromosomesegment:Table1Chromosomesegment	0.667	0.667	repeatfinder
18287116:Table1:SensitivityChromosomesegment:Table1Chromosomesegment	0.000	1.000	piler
18287116:Table1:SensitivityChromosome:Table1Chromosome	0.500	0.000	repeatscout
18287116:Table1:SensitivityChromosome:Table1Chromosome	1.000	0.500	repeatfinder
18287116:Table1:SensitivityChromosome:Table1Chromosome	0.000	1.000	piler
24602402:Additionalfile2:RV50BB_SPAverage:Additionalfile3RV50BB	0.000	1.000	clustalw
24602402:Additionalfile2:RV50BB_SPAverage:Additionalfile3RV50BB	0.500	0.375	clustalomega
24602402:Additionalfile2:RV50BB_SPAverage:Additionalfile3RV50BB	0.250	0.500	dialigntx
24602402:Additionalfile2:RV50BB_SPAverage:Additionalfile3RV50BB	1.000	0.625	mafft
24602402:Additionalfile2:RV50BB_SPAverage:Additionalfile3RV50BB	0.375	0.875	muscle
24602402:Additionalfile2:RV50BB_SPAverage:Additionalfile3RV50BB	0.125	0.750	poa
24602402:Additionalfile2:RV50BB_SPAverage:Additionalfile3RV50BB	0.812	0.250	probalign
24602402:Additionalfile2:RV50BB_SPAverage:Additionalfile3RV50BB	0.812	0.125	probcons
24602402:Additionalfile2:RV50BB_SPAverage:Additionalfile3RV50BB	0.625	0.000	tcoffee
24086547:Table4:N50:Table4	1.000	0.571	diginormvelvet
24086547:Table4:N50:Table4	0.286	0.429	dima
24086547:Table4:N50:Table4	0.000	0.143	gossamer
24086547:Table4:N50:Table4	0.429	1.000	minia
24086547:Table4:N50:Table4	0.571	0.000	sga
24086547:Table4:N50:Table4	0.714	0.714	sparseassembler
24086547:Table4:N50:Table4	0.857	0.857	velvet
24086547:Table4:N50:Table4	0.143	0.286	zema
24086547:Table5:N50:Table5	0.833	0.667	diginormvelvet
24086547:Table5:N50:Table5	0.333	0.500	dima
24086547:Table5:N50:Table5	0.000	0.000	gossamer
24086547:Table5:N50:Table5	0.167	0.333	minia
24086547:Table5:N50:Table5	0.667	1.000	sparseassembler
24086547:Table5:N50:Table5	1.000	0.167	velvet
24086547:Table5:N50:Table5	0.500	0.833	zema
18793413:Table3:Recallalignfraction00:Table5P1	0.000	0.500	msinspect
18793413:Table3:Recallalignfraction00:Table5P1	0.667	0.833	mzmine
18793413:Table3:Recallalignfraction00:Table5P1	1.000	0.167	openms
18793413:Table3:Recallalignfraction00:Table5P1	0.167	0.000	specarray
18793413:Table3:Recallalignfraction00:Table5P1	0.833	0.333	xalign
18793413:Table3:Recallalignfraction00:Table5P1	0.500	1.000	xcmswithoutretentiontime
18793413:Table3:Recallalignfraction00:Table5P1	0.333	0.667	xcmswithcorrection
18793413:Table3:Precisionalignfraction00:Table5P1	0.000	0.500	msinspect
18793413:Table3:Precisionalignfraction00:Table5P1	0.667	0.833	mzmine
18793413:Table3:Precisionalignfraction00:Table5P1	1.000	0.167	openms
18793413:Table3:Precisionalignfraction00:Table5P1	0.500	0.000	specarray
18793413:Table3:Precisionalignfraction00:Table5P1	0.833	0.333	xalign
18793413:Table3:Precisionalignfraction00:Table5P1	0.167	1.000	xcmswithoutretentiontime
18793413:Table3:Precisionalignfraction00:Table5P1	0.333	0.667	xcmswithcorrection
23393030:Table1brain:Accuracy:Figure2Abrain	1.000	1.000	inchworm
23393030:Table1brain:Accuracy:Figure2Abrain	0.333	0.667	oases
23393030:Table1brain:Accuracy:Figure2Abrain	0.000	0.333	transabyss
23393030:Table1brain:Accuracy:Figure2Abrain	0.667	0.000	trinity
23393030:Table1esc:Accuracy:Figure2Aesc	0.667	1.000	inchworm
23393030:Table1esc:Accuracy:Figure2Aesc	0.000	0.667	oases
23393030:Table1esc:Accuracy:Figure2Aesc	1.000	0.333	transabyss
23393030:Table1esc:Accuracy:Figure2Aesc	0.333	0.000	trinity
23393030:Table1spombe:Accuracy:Figure2Aspombe	0.667	1.000	inchworm
23393030:Table1spombe:Accuracy:Figure2Aspombe	0.333	0.667	oases
23393030:Table1spombe:Accuracy:Figure2Aspombe	1.000	0.333	transabyss
23393030:Table1spombe:Accuracy:Figure2Aspombe	0.000	0.000	trinity
22132132:Figure3:MissingbranchrateTrueAln:Figure3TrueAln	1.000	0.333	raxml
22132132:Figure3:MissingbranchrateTrueAln:Figure3TrueAln	0.667	1.000	fasttree
22132132:Figure3:MissingbranchrateTrueAln:Figure3TrueAln	0.333	0.667	raxmllimited
15701525:Table1:AUROCnativescore:Table5	0.600	0.400	ce
15701525:Table1:AUROCnativescore:Table5	0.900	0.200	dali
15701525:Table1:AUROCnativescore:Table5	0.000	0.800	lsqman
15701525:Table1:AUROCnativescore:Table5	0.400	0.000	ssap
15701525:Table1:AUROCnativescore:Table5	0.200	1.000	ssm
15701525:Table1:AUROCnativescore:Table5	0.900	0.600	strcutal
22152123:Figure5:FNraterepresentativemethods:Figure150genes	1.000	0.000	buckymrbayes
22152123:Figure5:FNraterepresentativemethods:Figure150genes	0.800	0.200	buckymrbayesspa
22152123:Figure5:FNraterepresentativemethods:Figure150genes	0.600	0.400	buckyraxml
22152123:Figure5:FNraterepresentativemethods:Figure150genes	0.300	0.900	phylonetft
22152123:Figure5:FNraterepresentativemethods:Figure150genes	0.300	0.900	greedyft
22152123:Figure5:FNraterepresentativemethods:Figure150genes	0.000	0.600	igtpduplossft
19046431:Figure2a:EuclideandistanceL=5000Lakeexcluded:Figure2b	1.000	0.333	barry
19046431:Figure2a:EuclideandistanceL=5000Lakeexcluded:Figure2b	0.000	0.667	goldman
19046431:Figure2a:EuclideandistanceL=5000Lakeexcluded:Figure2b	0.667	1.000	gojobori
19046431:Figure2a:EuclideandistanceL=5000Lakeexcluded:Figure2b	0.333	0.000	woodhams
23758764:Table2reportedcorrect:Sensitivity:Figure14Celegans	0.875	1.000	bowtie
23758764:Table2reportedcorrect:Sensitivity:Figure14Celegans	0.125	0.750	bowtie
23758764:Table2reportedcorrect:Sensitivity:Figure14Celegans	0.375	0.125	bwa
23758764:Table2reportedcorrect:Sensitivity:Figure14Celegans	0.250	0.875	soap
23758764:Table2reportedcorrect:Sensitivity:Figure14Celegans	0.500	0.500	maq
23758764:Table2reportedcorrect:Sensitivity:Figure14Celegans	0.000	0.000	rmap
23758764:Table2reportedcorrect:Sensitivity:Figure14Celegans	0.625	0.625	gsnap
23758764:Table2reportedcorrect:Sensitivity:Figure14Celegans	1.000	0.375	novoalign
23758764:Table2reportedcorrect:Sensitivity:Figure14Celegans	0.750	0.250	mrsfast
22172045:Figure7Sim4:Sensitivityat001FPR:Table2Sim4	0.750	0.250	antepiseeker
22172045:Figure7Sim4:Sensitivityat001FPR:Table2Sim4	1.000	1.000	boost
22172045:Figure7Sim4:Sensitivityat001FPR:Table2Sim4	0.125	0.000	epimode
22172045:Figure7Sim4:Sensitivityat001FPR:Table2Sim4	0.500	0.750	snpruler
22172045:Figure7Sim4:Sensitivityat001FPR:Table2Sim4	0.125	0.500	team
25574120:Figure1:AlignmentaccuracySPS:Figure6	0.222	0.556	clustalomega
25574120:Figure1:AlignmentaccuracySPS:Figure6	0.333	0.333	dialigntx
25574120:Figure1:AlignmentaccuracySPS:Figure6	0.667	0.667	kalign
25574120:Figure1:AlignmentaccuracySPS:Figure6	0.056	0.889	mafftfftns
25574120:Figure1:AlignmentaccuracySPS:Figure6	0.778	0.222	mafftlinsi
25574120:Figure1:AlignmentaccuracySPS:Figure6	0.444	0.778	multalin
25574120:Figure1:AlignmentaccuracySPS:Figure6	0.556	1.000	muscle
25574120:Figure1:AlignmentaccuracySPS:Figure6	1.000	0.000	probcons
25574120:Figure1:AlignmentaccuracySPS:Figure6	0.889	0.444	sate
25574120:Figure1:AlignmentaccuracySPS:Figure6	0.056	0.111	tcoffee
22506536:Table5:numberofmappedreadswhoseoriginalpositionhasbeenretrievedinthecompletelistofhits:Table5IndexingMappingtime	0.167	0.500	bfast
22506536:Table5:numberofmappedreadswhoseoriginalpositionhasbeenretrievedinthecompletelistofhits:Table5IndexingMappingtime	0.917	0.833	bowtie
22506536:Table5:numberofmappedreadswhoseoriginalpositionhasbeenretrievedinthecompletelistofhits:Table5IndexingMappingtime	0.917	0.667	bwa
22506536:Table5:numberofmappedreadswhoseoriginalpositionhasbeenretrievedinthecompletelistofhits:Table5IndexingMappingtime	0.500	0.333	gassst
22506536:Table5:numberofmappedreadswhoseoriginalpositionhasbeenretrievedinthecompletelistofhits:Table5IndexingMappingtime	0.333	0.167	novoalign
22506536:Table5:numberofmappedreadswhoseoriginalpositionhasbeenretrievedinthecompletelistofhits:Table5IndexingMappingtime	0.667	1.000	perm
22506536:Table5:numberofmappedreadswhoseoriginalpositionhasbeenretrievedinthecompletelistofhits:Table5IndexingMappingtime	0.000	0.000	ssaha
21856737:Fig1a:Accuracy@0100:Fig5b	0.000	0.800	bowtie
21856737:Fig1a:Accuracy@0100:Fig5b	0.400	0.400	bwa
21856737:Fig1a:Accuracy@0100:Fig5b	0.200	0.200	mrfast
21856737:Fig1a:Accuracy@0100:Fig5b	0.600	0.600	mrsfast
21856737:Fig1a:Accuracy@0100:Fig5b	0.800	0.000	novoalign
21856737:Fig1a:Accuracy@0100:Fig5b	1.000	1.000	soap
21113338:Table2:MissingbranchrateAvgerror:Table3sumalltimes	1.000	0.000	sate
21113338:Table2:MissingbranchrateAvgerror:Table3sumalltimes	0.857	0.571	mlmafft
21113338:Table2:MissingbranchrateAvgerror:Table3sumalltimes	0.714	0.857	mlmafftparttree
21113338:Table2:MissingbranchrateAvgerror:Table3sumalltimes	0.571	0.143	mlprankgt
21113338:Table2:MissingbranchrateAvgerror:Table3sumalltimes	0.429	0.429	mlmuscle
21113338:Table2:MissingbranchrateAvgerror:Table3sumalltimes	0.286	0.714	mlclustalw
21113338:Table2:MissingbranchrateAvgerror:Table3sumalltimes	0.143	1.000	mlclustalwquicktree
21113338:Table2:MissingbranchrateAvgerror:Table3sumalltimes	0.000	0.286	mlopal
23842808:Fig550genes:AverageFNrate:Section:31Computationalissues	1.000	0.929	caml
23842808:Fig550genes:AverageFNrate:Section:31Computationalissues	0.857	0.429	starbeast
23842808:Fig550genes:AverageFNrate:Section:31Computationalissues	0.571	0.643	buckycon
23842808:Fig550genes:AverageFNrate:Section:31Computationalissues	0.714	0.643	buckypop
23842808:Fig550genes:AverageFNrate:Section:31Computationalissues	0.429	0.929	mpest
15840834:Table2:NoofRMSD>3frombackbone:Table2	0.778	0.000	djigsaw
15840834:Table2:NoofRMSD>3frombackbone:Table2	0.333	0.556	builder
15840834:Table2:NoofRMSD>3frombackbone:Table2	0.556	0.111	modellerv
15840834:Table2:NoofRMSD>3frombackbone:Table2	0.111	0.444	modellerv
15840834:Table2:NoofRMSD>3frombackbone:Table2	0.000	0.333	modellerv
15840834:Table2:NoofRMSD>3frombackbone:Table2	0.667	0.667	nest
15840834:Table2:NoofRMSD>3frombackbone:Table2	0.944	0.944	scwrl
15840834:Table2:NoofRMSD>3frombackbone:Table2	0.944	0.944	scwrlcons
15840834:Table2:NoofRMSD>3frombackbone:Table2	0.444	0.778	segmodencad
15840834:Table2:NoofRMSD>3frombackbone:Table2	0.222	0.222	swissmodel
19179695:Fig8b:Treeerrorfraction:Fig9	0.000	0.167	poy
19179695:Fig8b:Treeerrorfraction:Fig9	0.833	0.000	poystar
19179695:Fig8b:Treeerrorfraction:Fig9	1.000	0.333	probtree
19179695:Fig8b:Treeerrorfraction:Fig9	0.667	0.667	mlmafft
19179695:Fig8b:Treeerrorfraction:Fig9	0.500	1.000	mlclustalw
19179695:Fig8b:Treeerrorfraction:Fig9	0.167	0.500	mpsclustalw
19179695:Fig8b:Treeerrorfraction:Fig9	0.333	0.833	mpjclustalw
22492192:Table5:D1:Gain:Table5	0.200	0.600	coral
22492192:Table5:D1:Gain:Table5	0.800	0.200	hitec
22492192:Table5:D1:Gain:Table5	0.000	0.000	hshrec
22492192:Table5:D1:Gain:Table5	0.600	0.400	quake
22492192:Table5:D1:Gain:Table5	1.000	1.000	reptile
22492192:Table5:D1:Gain:Table5	0.400	0.800	soapec
22492192:Table5:D2:Gain:Table5	0.250	0.500	coral
22492192:Table5:D2:Gain:Table5	1.000	0.250	hitec
22492192:Table5:D2:Gain:Table5	0.000	0.000	hshrec
22492192:Table5:D2:Gain:Table5	0.750	0.750	reptile
22492192:Table5:D2:Gain:Table5	0.500	1.000	soapec
22492192:Table5:D3B:Gain:Table5	0.167	1.000	coral
22492192:Table5:D3B:Gain:Table5	0.833	0.000	echo
22492192:Table5:D3B:Gain:Table5	1.000	0.667	hitec
22492192:Table5:D3B:Gain:Table5	0.000	0.333	hshrec
22492192:Table5:D3B:Gain:Table5	0.333	0.167	quake
22492192:Table5:D3B:Gain:Table5	0.667	0.500	reptile
22492192:Table5:D3B:Gain:Table5	0.500	0.833	soapec
22492192:Table5:D5:Gain:Table5	0.333	0.333	coral
22492192:Table5:D5:Gain:Table5	0.000	0.000	hshrec
22492192:Table5:D5:Gain:Table5	1.000	0.667	reptile
22492192:Table5:D5:Gain:Table5	0.667	1.000	soapec
22492192:Table5:D6:Gain:Table5	0.333	0.667	coral
22492192:Table5:D6:Gain:Table5	0.000	0.000	hshrec
22492192:Table5:D6:Gain:Table5	1.000	0.333	reptile
22492192:Table5:D6:Gain:Table5	0.667	1.000	soapec
22492192:Table5:D7:Gain:Table5	0.333	0.667	coral
22492192:Table5:D7:Gain:Table5	0.000	0.000	hshrec
22492192:Table5:D7:Gain:Table5	1.000	0.333	reptile
22492192:Table5:D7:Gain:Table5	0.667	1.000	soapec
21615913:Figure5:EMBL:SRR049254anybest:Normalizedfoundintervals@5errorrate:TableS5	0.300	0.800	bowtie
21615913:Figure5:EMBL:SRR049254anybest:Normalizedfoundintervals@5errorrate:TableS5	0.800	0.400	bowtiestar
21615913:Figure5:EMBL:SRR049254anybest:Normalizedfoundintervals@5errorrate:TableS5	1.000	0.200	bwa
21615913:Figure5:EMBL:SRR049254anybest:Normalizedfoundintervals@5errorrate:TableS5	0.300	0.000	shrimp
21615913:Figure5:EMBL:SRR049254anybest:Normalizedfoundintervals@5errorrate:TableS5	0.000	1.000	soap
21615913:Figure5:EMBL:SRR049254anybest:Normalizedfoundintervals@5errorrate:TableS5	0.600	0.600	soapstar
19126200:Figure5b:Medianaveragesensitivity:Table2simulationdata	0.250	1.000	cromwell
19126200:Figure5b:Medianaveragesensitivity:Table2simulationdata	1.000	0.250	cwt
19126200:Figure5b:Medianaveragesensitivity:Table2simulationdata	0.750	0.500	limpic
19126200:Figure5b:Medianaveragesensitivity:Table2simulationdata	0.000	0.750	lms
19126200:Figure5b:Medianaveragesensitivity:Table2simulationdata	0.500	0.000	process
19126200:Figure6b:Medianaveragesensitivity:Table2realdata	0.000	0.750	cromwell
19126200:Figure6b:Medianaveragesensitivity:Table2realdata	0.875	0.250	cwt
19126200:Figure6b:Medianaveragesensitivity:Table2realdata	0.875	1.000	limpic
19126200:Figure6b:Medianaveragesensitivity:Table2realdata	0.250	0.500	lms
19126200:Figure6b:Medianaveragesensitivity:Table2realdata	0.500	0.000	process
22574964:Table2:MeanSensitivity:Table2	0.667	0.000	carma
22574964:Table2:MeanSensitivity:Table2	1.000	0.333	megan
22574964:Table2:MeanSensitivity:Table2	0.000	1.000	metaphyler
22574964:Table2:MeanSensitivity:Table2	0.333	0.667	mgrast
22574964:Table2:MeanPrecision:Table2	1.000	0.000	carma
22574964:Table2:MeanPrecision:Table2	0.333	0.333	megan
22574964:Table2:MeanPrecision:Table2	0.000	1.000	metaphyler
22574964:Table2:MeanPrecision:Table2	0.667	0.667	mgrast
22574964:Table6:MeanSensitivity:Table6	1.000	0.333	nbc
22574964:Table6:MeanSensitivity:Table6	0.000	0.667	phylopythias
22574964:Table6:MeanSensitivity:Table6	0.667	0.000	phymmbl
22574964:Table6:MeanSensitivity:Table6	0.333	1.000	raiphy
22574964:Table6:MeanSensitivity:Table6	1.000	0.333	nbc
22574964:Table6:MeanSensitivity:Table6	0.333	0.667	phylopythias
22574964:Table6:MeanSensitivity:Table6	0.667	0.000	phymmbl
22574964:Table6:MeanSensitivity:Table6	0.000	1.000	raiphy
22287634:Figure6:Meanaccuracy:Figure2summedoverHsapiensGgallusCelegans	1.000	1.000	mirexpress
22287634:Figure6:Meanaccuracy:Figure2summedoverHsapiensGgallusCelegans	0.000	0.667	mireap
22287634:Figure6:Meanaccuracy:Figure2summedoverHsapiensGgallusCelegans	0.333	0.167	mirdeep
22287634:Figure6:Meanaccuracy:Figure2summedoverHsapiensGgallusCelegans	0.667	0.167	mirena
31465436:Table2:Precision:Table3550k	1.000	0.500	flashfry
31465436:Table2:Precision:Table3550k	0.900	0.400	wucrispr
31465436:Table2:Precision:Table3550k	0.800	0.700	crisprdo
31465436:Table2:Precision:Table3550k	0.700	0.800	chopchop
31465436:Table2:Precision:Table3550k	0.600	1.000	ssc
31465436:Table2:Precision:Table3550k	0.500	0.000	sgrnascorer
31465436:Table2:Precision:Table3550k	0.400	0.200	crispor
31465436:Table2:Precision:Table3550k	0.300	0.600	tuscan
31465436:Table2:Precision:Table3550k	0.200	0.100	phytocrispex
31465436:Table2:Precision:Table3550k	0.100	0.900	mmdb
31465436:Table2:Precision:Table3550k	0.000	0.300	casdesigner
30717772:TableS2aScerevisiae20x:Accuracy:TableS5aScerevisiae20x	1.000	1.000	jabba
30717772:TableS2aScerevisiae20x:Accuracy:TableS5aScerevisiae20x	0.889	0.444	pacbiotoca
30717772:TableS2aScerevisiae20x:Accuracy:TableS5aScerevisiae20x	0.778	0.222	ectools
30717772:TableS2aScerevisiae20x:Accuracy:TableS5aScerevisiae20x	0.667	0.000	nanocorr
30717772:TableS2aScerevisiae20x:Accuracy:TableS5aScerevisiae20x	0.556	0.667	halc
30717772:TableS2aScerevisiae20x:Accuracy:TableS5aScerevisiae20x	0.444	0.778	lordec
30717772:TableS2aScerevisiae20x:Accuracy:TableS5aScerevisiae20x	0.333	0.889	fmlrc
30717772:TableS2aScerevisiae20x:Accuracy:TableS5aScerevisiae20x	0.222	0.333	proovread
30717772:TableS2aScerevisiae20x:Accuracy:TableS5aScerevisiae20x	0.111	0.556	colormap
30717772:TableS2aScerevisiae20x:Accuracy:TableS5aScerevisiae20x	0.000	0.111	lsc
30717772:TableS2bScerevisiae20x:Accuracy:TableS5bScerevisiae20x	1.000	0.889	jabba
30717772:TableS2bScerevisiae20x:Accuracy:TableS5bScerevisiae20x	0.889	0.444	pacbiotoca
30717772:TableS2bScerevisiae20x:Accuracy:TableS5bScerevisiae20x	0.778	0.222	ectools
30717772:TableS2bScerevisiae20x:Accuracy:TableS5bScerevisiae20x	0.667	0.111	nanocorr
30717772:TableS2bScerevisiae20x:Accuracy:TableS5bScerevisiae20x	0.556	0.778	halc
